"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","source","type","score","phase","gene_type","gene_name","level","hgnc_id","havana_gene"
"ENSG00000228000.1",2.07850751109928,-2.37246199902327,0.362332868459195,-6.54774160873689,5.841367137524e-11,2.33294347748228e-10,"HAVANA","gene",NA,NA,"processed_pseudogene","RPL7AP65","1","HGNC:37031","OTTHUMG00000059393.1"
"ENSG00000259664.3",2.13463784948594,2.02567036205356,0.309566432387049,6.54357239715474,6.00663856314737e-11,2.39595415502781e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC02254","2","HGNC:53152","OTTHUMG00000172036.14"
"ENSG00000199370.2",3.81688950098334,-2.66021886515691,0.406571081515065,-6.54305971601263,6.02727485853906e-11,2.40358530441657e-10,"ENSEMBL","gene",NA,NA,"snoRNA","U3","3",NA,NA
"ENSG00000162009.8",3.75602486824463,-2.50836042182731,0.383471349802164,-6.54119381570851,6.10296766258351e-11,2.43154412236487e-10,"HAVANA","gene",NA,NA,"protein_coding","SSTR5","2","HGNC:11334","OTTHUMG00000047842.5"
"ENSG00000267134.3",5.32636300838077,-2.92005622109469,0.446692412209079,-6.53706250942075,6.27388319195819e-11,2.49714832372449e-10,"HAVANA","gene",NA,NA,"lncRNA","LINC01924","2","HGNC:27600","OTTHUMG00000060638.7"
"ENSG00000136535.15",4.4821057584209,-2.17105929435858,0.332466793718264,-6.53015379394056,6.57021907890189e-11,2.61119200390037e-10,"HAVANA","gene",NA,NA,"protein_coding","TBR1","2","HGNC:11590","OTTHUMG00000153888.3"
"ENSG00000205325.3",15.3319395994636,-2.27195472440439,0.347933744888682,-6.52984873637731,6.58361475240681e-11,2.61629879551933e-10,"HAVANA","gene",NA,NA,"lncRNA","AC005863.1","2",NA,"OTTHUMG00000058812.5"
"ENSG00000142025.16",14.5781776587798,-2.13266287199727,0.326687422568432,-6.52814502385852,6.65892071221017e-11,2.6453473575621e-10,"HAVANA","gene",NA,NA,"protein_coding","DMRTC2","2","HGNC:13911","OTTHUMG00000182675.4"
"ENSG00000113327.17",10.3155065827936,-3.13937333105236,0.481059861020693,-6.52595151961207,6.75711753077979e-11,2.6834673483062e-10,"HAVANA","gene",NA,NA,"protein_coding","GABRG2","2","HGNC:4087","OTTHUMG00000130350.8"
"ENSG00000244094.2",2.99509814902114,2.73870565016622,0.419960925929452,6.52133444106721,6.96846105168732e-11,2.76487758994898e-10,"HAVANA","gene",NA,NA,"protein_coding","SPRR2F","2","HGNC:11266","OTTHUMG00000014398.2"
"ENSG00000265217.2",2.05199660450631,-3.17412438280457,0.486862904930227,-6.51954451789555,7.05212075399634e-11,2.79783956048331e-10,"HAVANA","gene",NA,NA,"lncRNA","AC090358.1","2",NA,"OTTHUMG00000178489.2"
